User;UserID;TweetId;LABEL;Is this a RT?;Is there an URL?;Has it been RT?;Has it been replied?;is it  a reply?;#ofREPLIES;#ofRT;#ofFollowers;#ofFollowings;#ofStatuses
DYBuddhaPest;203382246;727297207939006000;R;YES;NO;NO;NO;NO;0;0;123;6;38
MikeHirsch;21599478;727296901981344000;R;YES;YES;NO;NO;NO;0;0;3556;924;411
neil_bodie;2910149688;727296814886453000;NR;YES;YES;NO;NO;NO;0;0;24139;6133;5902
cc_sweetcakes;2465508757;727296224295002000;NR;YES;YES;NO;NO;NO;0;0;2785;60;97
YahJoy2;1979199212;727295715035107000;NR;YES;YES;NO;NO;NO;0;0;2650;511;2497
MooreCharlotteG;520983561;727295168194302000;NR;YES;YES;NO;NO;NO;0;0;2313;424;1309
CarlaCaruso_CPS;2338332789;727295036107403000;NR;YES;YES;NO;NO;NO;0;0;29768;1914;2467
mauritaniafrica;197944710;727294428591866000;NR;NO;YES;NO;NO;NO;0;0;443569;7526;7955
ClevelandClinic;24236494;727294127298113000;NR;NO;YES;YES;NO;NO;0;15;30892;556487;939
Greenflow;20611322;727293641958400000;NR;NO;YES;YES;NO;NO;0;1;4233;937;865
fezziwig2008;376154503;727293586950263000;R;NO;NO;NO;NO;YES;0;0;26282;1070;87
white_feminist;178790927;727292783740899000;R;NO;NO;NO;NO;YES;0;0;27182;791;489
naturalmyztik;247876926;727292609920700000;NR;NO;YES;NO;NO;NO;0;0;3926;82;93
JASON_KLEIN;16676746;727290834765246000;R;NO;NO;NO;NO;NO;0;0;797;60;138
malbertnews;36246939;727290610185593000;NR;NO;YES;NO;NO;NO;0;0;20750;3033;84
Incredinfant;447356419;727289077817594000;R;NO;YES;NO;NO;NO;0;0;3061;4171;339
white_feminist;178790927;727288302320001000;R;NO;NO;NO;NO;YES;0;0;27182;791;489
robinsnewswire;40173650;727287503686898000;R;NO;YES;NO;NO;NO;0;0;970127;23130;18954
haley_wilsonn;1015985910;727286351935226000;R;YES;NO;NO;NO;NO;0;0;1028;201;171
mikewaltercctv;1710430632;727284876731376000;R;NO;NO;NO;NO;NO;0;0;1016;1273;197
KinolaiHealth;3041054075;727282908998697000;NR;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727282907874620000;NR;NO;YES;NO;NO;NO;0;0;20356;5295;5572
R_J_Hayes;3041054075;727282906545037000;NR;NO;YES;NO;NO;NO;0;0;20356;5295;5572
