along;art,5;basketball,2;beauty,2;films,13;football,44;gossip,1;health,3;nature,11;politics,11;technology,8;travel,3;university,2
alongsid;films,1;politics,22;technology,2;travel,1;university,1
alonso;football,132
alonsoemilio;football,11
alonsojesú;football,11
alonsomarco;football,11
alonzo;basketball,3
alou;football,11
aloualou;football,11
alp;basketball,1;gossip,2;nature,1;technology,1;travel,1
alph;nature,2;politics,33;technology,2
alphabet;football,55;nature,1;politics,22;technology,1
alphonso;technology,1
alpin;travel,1
already;art,1;basketball,1;beauty,3;fashion,2;films,3;politics,44;technology,10;university,7
also;art,94;basketball,31;beauty,43;fashion,58;films,55;football,132;gossip,56;health,89;nature,74;politics,506;technology,86;travel,34;university,100
alsobrook;films,1
alsthom;technology,1
alston;art,2
alsú;football,22
alt;basketball,2;films,2;gossip,1;health,1;nature,4;politics,33;technology,1;university,1
altamir;beauty,1
altarpiec;fashion,2
altek;university,2
alter;gossip,1
alterman;nature,2
altern;art,2;basketball,2;fashion,2;films,8;gossip,5;health,7;nature,15;politics,11;technology,7;travel,3;university,10
although;art,12;basketball,6;beauty,9;fashion,14;films,15;gossip,5;health,14;nature,15;politics,132;technology,12;travel,2;university,29
altintop;football,11
altitud;health,31;nature,4;technology,3
altitudin;health,1
altm;health,1
altman;health,1
altmet;university,1
alto;nature,1
altogeth;beauty,1;fashion,3;films,1
alton;beauty,2
altro;art,1
altru;gossip,167
altruismvtedef;gossip,1
altrur;gossip,1
alumid;technology,1
alumin;health,1;nature,6;technology,8;travel,1
aluminiumisopropyl;health,1
alumn;university,1
alv;art,2;beauty,1;films,1;football,77
alvarez;nature,1
alvin;football,11
alvinalvin;football,11
alway;art,6;basketball,2;beauty,2;fashion,2;films,4;gossip,8;nature,2;politics,66;technology,2;university,8
alwin;art,2
aly;beauty,2;nature,5;technology,1
alyesk;travel,1
alyson;politics,33;university,1
alíc;gossip,2
amade;films,1
amancio;football,33
amand;fashion,1;gossip,2
amapá;football,22
amaro;football,11
amass;politics,11
amat;technology,1
amavisc;football,22
amaz;nature,1;politics,11
amazon;art,3;nature,3;travel,1
amazona;football,22
amazôn;football,11
amb;technology,3;travel,1
ambassad;basketball,1;politics,11
amberl;technology,3
ambigu;art,1;health,1
ambit;politics,11
amblin;films,1
ambros;beauty,3;football,11;gossip,2;technology,1
amby;health,1;technology,3;travel,1
amd;films,1
amedeo;art,2
ameenah;politics,22
amend;beauty,32;nature,1;politics,44;university,16
ament;university,1
americ;art,14;basketball,9;beauty,21;fashion,5;films,4;football,11;gossip,5;health,5;nature,9;politics,341;technology,3;travel,6;university,10
america;art,1;basketball,19;health,1;travel,1
american;art,2
americanpolit;beauty,1
americantradejourn;technology,1
americasheadsof;politics,11
americasovereign;university,2
americaunivers;art,2
amerišk;technology,1
amf;health,1;technology,1
amherst;technology,1
amid;health,1;nature,1
amidog;nature,1
amikec;travel,1
amin;beauty,1;health,2;nature,1
amino;nature,47
aminoacetonitril;nature,1
aminooxazolin;nature,3
amir;politics,11
amit;health,1
amjm;health,1
amman;politics,22
amminadab;art,1
ammon;health,1;nature,12;technology,1
ammunit;technology,3
amnesty;beauty,2;politics,11
amo;basketball,2;films,1
amoeb;basketball,1
amoeba;gossip,1
amoedo;art,1
amon;technology,1
among;art,24;basketball,4;beauty,8;fashion,5;films,3;football,22;gossip,8;health,26;nature,9;politics,110;technology,13;travel,2;university,10
amongst;gossip,1;nature,2;politics,11;technology,2;university,2
amoro;football,33
amorph;nature,1;technology,3
amort;technology,1
amount;beauty,1;fashion,4;films,3;football,66;gossip,3;health,10;nature,13;politics,33;technology,3;university,5
amp;art,23;basketball,22;beauty,19;fashion,70;films,17;football,22;gossip,24;health,23;nature,62;politics,187;technology,40;travel,7;university,21
ampakin;technology,3
ampex;technology,2
amphib;nature,1
amphiphil;nature,5
amphith;films,1
ampl;beauty,1;films,2;nature,2;technology,1
amput;basketball,1
amr;gossip,1
amravat;nature,1
amrollah;art,1
amsgloss;health,1
amsterdam;films,1;nature,20
amulet;art,1
amus;beauty,2;travel,2;university,1
amy;art,2;gossip,2;politics,11
amyl;health,7
américo;art,1
ana;politics,22
anacond;beauty,1
anael;nature,1
anaeob;nature,1
anaerob;health,2;nature,3
anagram;university,1
analog;films,8;gossip,1;health,1;nature,5;technology,3;university,1
analogs—novel;nature,1
analys;art,5;basketball,1;beauty,2;fashion,1;films,7;gossip,14;health,16;nature,12;politics,77;technology,9;travel,1;university,3
analyst;films,1;politics,33;technology,1
anamarv;technology,1
anamorph;films,28
anamorphos;films,3
anand;art,1;beauty,3
anans;technology,2
anarch;art,2;gossip,2;politics,55
anarcho;technology,2
anarchy;art,1;beauty,1;politics,22
anastas;nature,1;politics,22
anastasiad;politics,22
anatol;art,1
anatoliy;nature,1
anatom;art,2;health,1;nature,3
anc;nature,1
ancast;nature,1
ancest;art,4;beauty,1;gossip,3;health,1;nature,13;politics,22
ancestry;beauty,4;nature,1;politics,11
anch;art,1;beauty,1;health,1
ancientchines;gossip,1
anct;beauty,2
andal;university,1
andalou;art,2
andaluc;politics,11
andalucí;politics,11
andalus;fashion,1;politics,33
andamanes;technology,1
andcommun;technology,4
andconceiv;technology,1
andconstruct;technology,1
anderson;art,4;basketball,1;beauty,4;fashion,5;football,33;gossip,3;health,2;nature,2;politics,11;university,1
andersonact;politics,11
andersson;gossip,1
anderton;football,33
andon;football,33
andoniandon;football,22
andorr;football,22;politics,99;university,1
andoth;politics,11;university,5
andprincipl;gossip,1
andr;art,1;football,11;technology,1
andre;fashion,4;films,3;gossip,1;nature,2;politics,33;university,1
andrea;art,2;gossip,2;nature,1;technology,1;university,2
andreescu;university,1
andres;politics,44
andreu;politics,11
andrew;basketball,9;beauty,14;football,99;health,1;nature,6;politics,77;technology,1;travel,1;university,3
andrinú;football,11
andro;football,11
androgyn;fashion,1
androgyny;fashion,1
android;fashion,1;technology,4
androsandro;football,11
andrzes;politics,22
andré;art,18;films,1;football,55;nature,1;technology,2
andréandré;football,44
andrésandré;football,22
anduniform;beauty,1;fashion,1
andy;art,3;beauty,2;nature,1;politics,11;technology,2
andyandy;football,22
anec;university,15
aneca’s;university,1
anecdot;travel,1
anelk;football,55
anerood;politics,22
anest;technology,1
anesthes;health,1
anew;beauty,1;health,1
anfam;art,4
ang;art,1;beauty,2;fashion,2;gossip,3
angel;art,7;basketball,2;beauty,1;fashion,4;films,1;gossip,1;health,3;politics,110;technology,3;university,3
angelic;university,2
angewandt;nature,3
angl;beauty,1;films,7;health,2;technology,1;travel,1
anglebal;basketball,1
anglemy;health,2
anglo;beauty,1;fashion,5;politics,11;technology,1;university,7
anglom;football,33
anglophon;university,1
angol;basketball,6;football,22;health,1;politics,66;university,1
angry;art,2;beauty,1
angstrom;nature,1
anguill;football,22;politics,55;university,1
angul;nature,1
anicon;art,1
anilin;films,1
anim;art,6;basketball,1;beauty,2;fashion,2;films,32;gossip,7;health,9;nature,30;technology,14
animal;nature,1
