tweetID;numberOfRetweet;numberOfFavorites;spam_score;positive_score;negative_score;neutral_score;user_credibility;tweet_rumor_score
796463365946277888;978.00;0.00;0.00;0.00;1.00;0.00;0.74;0.70
796463365933637632;58.00;0.00;0.00;0.00;0.99;0.01;0.53;0.57
796463365929496576;2366.00;0.00;0.00;0.00;0.91;0.09;0.65;0.32
796463365891772422;31.00;0.00;0.00;0.00;1.00;0.00;0.64;0.55
796463365874913280;0.00;0.00;0.00;0.01;0.78;0.22;0.47;0.58
796463365870800910;46.00;0.00;0.00;0.01;0.75;0.24;0.67;0.54
796463365740777475;0.00;0.00;0.00;0.01;0.77;0.22;0.35;0.52
796463365728206848;37207.00;0.00;0.00;0.00;0.98;0.02;0.60;0.71
796463365728124928;46.00;0.00;0.00;0.00;1.00;0.00;0.46;0.66
796463365669302272;0.00;0.00;0.00;0.08;0.62;0.30;0.58;0.51
796463365656866816;4642.00;0.00;0.00;0.01;0.92;0.08;0.55;0.33
796463365610762240;0.00;0.00;0.00;0.01;0.93;0.07;0.45;0.61
796463365610577920;3245.00;0.00;0.00;0.00;1.00;0.00;0.76;0.71
796463365589782533;6.00;0.00;0.00;0.01;0.78;0.22;0.42;0.14
796463365556240387;40754.00;0.00;0.00;0.00;1.00;0.00;0.67;0.77
796463365539434496;2366.00;0.00;0.00;0.00;0.91;0.09;0.55;0.32
796463365535039488;0.00;0.00;0.00;0.00;0.95;0.05;0.49;0.89
796463365484904448;38934.00;0.00;0.00;0.01;0.78;0.22;0.64;0.59
796463365426135040;1854.00;0.00;0.00;0.05;0.84;0.10;0.77;0.63
796463365380067332;4938.00;0.00;0.01;0.01;0.78;0.22;0.36;0.16
796463365380067328;0.00;0.00;0.00;0.00;0.87;0.12;0.73;0.59
796463365363290112;777.00;0.00;0.00;0.00;1.00;0.00;0.54;0.77
796463365350653952;2.00;0.00;0.00;0.00;0.94;0.05;0.60;0.78
796463365346435072;12398.00;0.00;0.00;0.00;0.97;0.02;0.71;0.61
796463365325553664;0.00;0.00;0.00;0.00;1.00;0.00;0.71;0.83
796463365296164864;15106.00;0.00;0.00;0.02;0.30;0.68;0.51;0.60
796463365266743296;24.00;0.00;0.00;0.01;0.99;0.01;0.69;0.78
